archetype,n_players,avg_age,avg_minutes_pg,avg_points_pg,avg_usage_pct,avg_pie,avg_def_rating,avg_salary,median_salary,avg_etd_pie,median_etd_pie
Role Player,164,27.317,19.743,7.934,0.162,0.089,112.428,6551938.53,3654576.5,3.737,2.2
Rookie Contributor,73,21.205,21.135,9.225,0.181,0.085,112.095,6246348.644,4677600.0,3.404,1.753
3-and-D Wing,21,28.429,23.201,9.217,0.156,0.08,109.276,9014232.19,10044644.0,1.976,0.826
High-Volume Scorer,3,24.333,30.523,21.317,0.287,0.122,115.0,10797925.333,6837779.0,1.48,1.784
Defensive Specialist,24,27.583,19.024,6.562,0.139,0.098,106.112,9751676.083,9609756.0,1.386,1.104
Sixth Man,16,27.625,25.344,14.203,0.227,0.115,112.6,12908108.5,11525319.0,1.352,1.007
Prime Star,40,25.275,32.637,20.388,0.253,0.126,112.412,34351589.95,36911145.0,0.381,0.355
Veteran Star,46,31.391,33.012,19.698,0.239,0.123,112.687,37600081.783,34972000.5,0.346,0.355
